wdpaid,year,class,pixels,path_2000_tif,path_2010_tif
191,2000-2010,80-50,2,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,255-20,1774,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,90-40,1,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,50-20,5399,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,30-90,42195,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,90-255,1465,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,255-60,101,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,50-40,429,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,60-90,130,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,30-50,204,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
