oid, id, partcount, pointcount
403,68486388.0,2,1787
404,61694.0,1,530
405,190099.0,22,253217
406,154803.0,4,56906
407,22722437.0,1,35
408,57571.0,2,477
409,57571.0,2,64
410,196558.0,289,25925
411,22686325.0,8,2584
412,22686325.0,1,114
413,22686325.0,13,10380
414,22686325.0,3,890
415,61934264.0,25,633248
416,55292.0,2,54
417,22720246.0,38,14940
418,22720246.0,12,3819
419,47945154.0,3,5114
420,47945154.0,3,5114
421,183843.0,2,20501
422,156831.0,212,26559
423,181268.0,1,425
424,22685797.0,69,6386
425,185127.0,3,148083
426,170068.0,3,6823
427,192091.0,1,470
428,63622.0,5,610
429,185978.0,5,51604
430,18258256.0,1,22657
431,58670.0,4,1667
432,185259.0,2,7117
433,185259.0,1,5094
434,189683.0,3,21499
435,178598.0,1589,78495
436,183177.0,75,20640
437,183177.0,8,107726
438,183177.0,67,18940
439,189579.0,1,506
440,56211.0,2,53653
441,192066.0,1,8108
442,19976.0,1,222
443,54650.0,1,62
444,158938.0,1,2912
445,153836.0,20,4052
446,161530.0,6,17024
447,103799796.0,2,101
448,16781168.0,29,425199
449,22699298.0,15,2082
450,201419.0,4,486
451,22680542.0,1,723
452,22680542.0,7,4851
453,133977.0,1,435
454,190979.0,1,13
455,22717831.0,9,847
456,22717831.0,1,518
457,167395.0,5072,245305
458,185392.0,5,6682
459,22722915.0,6,965
460,22680795.0,2,2669
461,571.0,1,778
462,61015.0,1,1485
463,199886.0,1,595
464,22687275.0,50,3811
465,69779925.0,1,2535
466,154998.0,200,561451
467,184206.0,11,30412
468,184206.0,11,8377
469,184206.0,15,12883
470,55703.0,3,442
471,49830365.0,2,294
472,22732257.0,8,5616
473,55674.0,1,22
474,178355.0,1,203
475,178355.0,2,297
476,22704460.0,169,15753
477,22684704.0,2,1242
478,162381.0,87,7758
479,162381.0,26,21370
480,162381.0,1,10
481,162381.0,8,130
482,162381.0,4919,436107
483,162381.0,8,34351
484,162381.0,45,53474
485,183868.0,3,18026
486,56867.0,1,23
487,181731.0,2,4172
488,181731.0,1,3094
489,103111602.0,1,4107
490,136034.0,1,14
491,178012.0,103,317989
492,22703378.0,1,34
493,137563.0,1,5463
494,190156.0,39,232063
495,135711.0,1,1538
496,40533.0,1,94
497,189168.0,745,32150
